Added By,Model,Method Used,Test Dataset,Source,Notes,Accuracy,Domain,Abrivation
Nima1313,GPT-4o,ZS no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",90.45,Deduction,
Nima1313,GPT-4o,M-Cot no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",90.95,Deduction,
Nima1313,GPT-4o,ZS Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",85.93,Deduction,
Nima1313,GPT-4o,ZS Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",85.93,Deduction,
Nima1313,GPT-4o,M-Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",86.18,Deduction,
Nima1313,Claude V3 Sonnet,ZS no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",80.6,Deduction,
Nima1313,Claude V3 Sonnet,M-Cot no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",81.47,Deduction,
Nima1313,Claude V3 Sonnet,ZS Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",79.96,Deduction,
Nima1313,Claude V3 Sonnet,ZS Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",78.66,Deduction,
Nima1313,Claude V3 Sonnet,M-Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",76.51,Deduction,
Nima1313,GPT-4,ZS no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",79.31,Deduction,
Nima1313,GPT-4,M-Cot no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",77.59,Deduction,
Nima1313,GPT-4,ZS Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",79.96,Deduction,
Nima1313,GPT-4,ZS Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",78.88,Deduction,
Nima1313,GPT-4,M-Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",80.39,Deduction,
Nima1313,GPT-4o,ZS no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",79.96,Deduction,
Nima1313,GPT-4o,M-Cot no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",80.6,Deduction,
Nima1313,GPT-4o,ZS Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",81.68,Deduction,
Nima1313,GPT-4o,ZS Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",81.03,Deduction,
Nima1313,GPT-4o,M-Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",81.25,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,bAbI-15,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,89,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,EntailmentBank,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,72,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,RuleTaker,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,62,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,FOLIO,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,53,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,Leap-Of-Thought,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,81,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,bAbI-15,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,90,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,EntailmentBank,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,74,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,RuleTaker,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,64,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,FOLIO,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,56,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,Leap-Of-Thought,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,80,Deduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,bAbI-16,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,92,Induction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,CLUTRR,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,39,Induction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,bAbI-16,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,88,Induction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,CLUTRR,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,40,Induction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,α-NLI,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,39,Abduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,α-NLG,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,17,Abduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,AbductiveRules,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,42,Abduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,D*Ab,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,10,Abduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,α-NLI,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,37,Abduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,α-NLG,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,17,Abduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,AbductiveRules,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,22,Abduction,
Nima1313, LLaMA3.1-Chat,0-shot-CoT,D*Ab,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,24,Abduction,
Nima1313, LLaMA3.1-Chat,0-shot-Direct,ReClor,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,67,MIX (A-D-I),
Nima1313, LLaMA3.1-Chat,0-shot-Direct,LogiQA,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,46.54,MIX (A-D-I),
Nima1313, LLaMA3.1-Chat,0-shot-Direct,LogiQA 2.0,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,63,MIX (A-D-I),
Nima1313, LLaMA3.1-Chat,0-shot-Direct,LogiQA2NLI,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,61,MIX (A-D-I),
Nima1313, LLaMA3.1-Chat,0-shot-CoT,ReClor,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,63,MIX (A-D-I),
Nima1313, LLaMA3.1-Chat,0-shot-CoT,LogiQA,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,44.55,MIX (A-D-I),
Nima1313, LLaMA3.1-Chat,0-shot-CoT,LogiQA 2.0,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,55,MIX (A-D-I),
Nima1313, LLaMA3.1-Chat,0-shot-CoT,LogiQA2NLI,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,51,MIX (A-D-I),
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,bAbI-15,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,59,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,EntailmentBank,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,82,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,RuleTaker,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,45,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,FOLIO,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,48,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,Leap-Of-Thought,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,78,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,bAbI-15,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,51,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,EntailmentBank,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,86,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,RuleTaker,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,64,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,FOLIO,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,45,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,Leap-Of-Thought,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,73,Deduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,bAbI-16,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,36,Induction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,CLUTRR,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,15,Induction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,bAbI-16,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,23,Induction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,CLUTRR,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,20,Induction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,α-NLI,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,31,Abduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,α-NLG,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,16,Abduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,AbductiveRules,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,35,Abduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,D*Ab,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,6,Abduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,α-NLI,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,28,Abduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,α-NLG,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,15,Abduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,AbductiveRules,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,25,Abduction,
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,D*Ab,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,3,Abduction,
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,ReClor,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,55,MIX (A-D-I),
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,LogiQA,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,50.23,MIX (A-D-I),
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,LogiQA 2.0,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,45,MIX (A-D-I),
Nima1313,Mistral-Ins-v0.3,0-shot-Direct,LogiQA2NLI,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,54,MIX (A-D-I),
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,ReClor,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,52,MIX (A-D-I),
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,LogiQA,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,42.7,MIX (A-D-I),
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,LogiQA 2.0,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,47,MIX (A-D-I),
Nima1313,Mistral-Ins-v0.3,0-shot-CoT,LogiQA2NLI,Are Large Language Models Really Good Logical Reasoners? A Comprehensive Evaluation and Beyond,the value represents the answer correctness. the paper has some fantastic visualizations on other metrics (like no-hallucination or being Rigorous) too.,54,MIX (A-D-I),
